-921655;5363065;0.2788;0.0259;0.1118;0.5577
-921320;5647415;0.2241;0.0263;0.1178;0.4481
-921037;5322192;0.2611;0.0266;0.1110;0.5222
-920972;5344997;0.2566;0.0266;0.1115;0.5132
-920385;5333575;0.2582;0.0272;0.1112;0.5164
-920100;5352591;0.2524;0.0275;0.1116;0.5048
-920096;5286621;0.2691;0.0275;0.1102;0.5381
-920076;5271172;0.2686;0.0276;0.1099;0.5373
-919920;5245022;0.2700;0.0277;0.1094;0.5400
-919444;5298004;0.2663;0.0282;0.1105;0.5325
-918745;5232552;0.2725;0.0290;0.1091;0.5450
-918636;5401246;0.2471;0.0291;0.1126;0.4943
-918635;5391016;0.2471;0.0291;0.1124;0.4943
-918589;5209054;0.2738;0.0291;0.1086;0.5476
-918392;5198030;0.2790;0.0294;0.1084;0.5579
-918373;5474878;0.2416;0.0294;0.1142;0.4832
