
Gurobi 11.0.3 (linux64, Java) logging started seg 16 dez 2024 14:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.5922415627952831e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 146159 rows, 100136 columns and 1217161 nonzeros
Model fingerprint: 0x36843444
Model has 228 quadratic constraints
Variable types: 49958 continuous, 50178 integer (223 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 144661 rows and 98208 columns
Presolve time: 0.67s
Presolved: 2355 rows, 2197 columns, 239097 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 223 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 720 continuous, 1477 integer (225 binary)
Found heuristic solution: objective 3824045.5664

Root relaxation: objective 2.544202e+05, 346 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 260495.581    0  186 1437453.52 260495.581  81.9%     -    9s
     0     0 260534.716    0  188 1437453.52 260534.716  81.9%     -    9s
     0     0 260534.860    0  188 1437453.52 260534.860  81.9%     -    9s
     0     0 260591.910    0  180 1437453.52 260591.910  81.9%     -    9s
     0     0 260596.609    0  183 1437453.52 260596.609  81.9%     -    9s
     0     0 260643.466    0  183 1437453.52 260643.466  81.9%     -    9s
     0     0 260645.919    0  183 1437453.52 260645.919  81.9%     -    9s
     0     0 260690.254    0  259 1437453.52 260690.254  81.9%     -    9s
     0     0 260693.381    0  187 1437453.52 260693.381  81.9%     -    9s
     0     0 260755.078    0  259 1437453.52 260755.078  81.9%     -    9s
     0     0 260755.237    0  184 1437453.52 260755.237  81.9%     -    9s
     0     0 260787.100    0  258 1437453.52 260787.100  81.9%     -    9s
     0     0 260790.182    0  263 1437453.52 260790.182  81.9%     -    9s
     0     0 260815.142    0  185 1437453.52 260815.142  81.9%     -    9s
     0     0 260819.051    0  188 1437453.52 260819.051  81.9%     -    9s
     0     0 260823.864    0  263 1437453.52 260823.864  81.9%     -   10s
     0     0 260823.864    0  263 1437453.52 260823.864  81.9%     -   10s
H    0     0                    729716.03152 260823.864  64.3%     -   11s
     0     2 260823.879    0  263 729716.032 260823.879  64.3%     -   11s
   108   254 260831.359   37  242 729716.032 260828.177  64.3%   2.1   15s
   253   299 260836.292   86  231 729716.032 260828.177  64.3%   1.9   26s
   496   653 269151.539  213  224 729716.032 260828.177  64.3%   2.2   32s
   662   837 261838.626  273  225 729716.032 260828.177  64.3%   3.3   35s
H  772   837                    511372.28621 260828.177  49.0%   3.2   35s
H  858  1000                    462819.02902 260828.177  43.6%   3.4   37s
H 1046  1083                    462810.28265 260828.177  43.6%   3.5   39s
  1111  1228 264545.878  455  226 462810.283 260828.177  43.6%   3.7   42s
H 1200  1228                    462413.40219 260828.177  43.6%   3.8   42s
  1410  1517 274744.830  586  224 462413.402 260828.177  43.6%   4.1   46s
  1842  2053 291732.950  768  220 462413.402 260828.177  43.6%   4.4   53s
  2094  2268 292452.868  917  220 462413.402 260828.177  43.6%   4.8   56s
H 2309  2518                    349983.27161 260828.177  25.5%   5.4   59s
  2559  2776 293710.360 1180  220 349983.272 260828.177  25.5%   6.0   63s
  2817  3090 294449.488 1334  220 349983.272 260828.177  25.5%   6.5   66s
  3131  3348 295303.806 1512  220 349983.272 260828.177  25.5%   7.0   70s
  3637  3596 292289.697  885  338 349983.272 260828.177  25.5%   7.6   76s
H 3639  3417                    349757.76337 260828.177  25.4%   7.6   77s
  3648  3423 277083.013  927   36 349757.763 261068.928  25.4%   7.6   80s
  3664  3434 294392.429 1322   37 349757.763 261220.179  25.3%   7.5   85s
H 3681  3272                    343278.70298 261343.682  23.9%   7.5   88s
  3690  3278 262262.558  372   40 343278.703 261372.613  23.9%   7.5   90s
  3718  3297 262191.061  312   41 343278.703 261569.505  23.8%   7.4   95s
  3749  3318 274846.814  608   47 343278.703 261814.261  23.7%   7.4  100s
H 3775  3166                    341889.44841 261961.599  23.4%   7.3  104s
