
Gurobi 11.0.3 (linux64, Java) logging started ter 26 nov 2024 21:22:10 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x4550d312
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+05]
Presolve removed 17832 rows and 11922 columns
Presolve time: 0.15s
Presolved: 1188 rows, 707 columns, 13375 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 299 continuous, 408 integer (70 binary)
Found heuristic solution: objective 6443456.0075

Root relaxation: objective 0.000000e+00, 364 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 82033 66073 1531071.40   75  176 2807991.90 823040.938  70.7%  19.9 1225s
 83136 67015 1948907.94   85  153 2807991.90 823978.677  70.7%  19.9 1230s
 84450 68121 2248887.38   96  141 2807991.90 825191.683  70.6%  19.9 1235s
 85567 69037 2560916.23  102  134 2807991.90 826384.689  70.6%  19.9 1240s
 86929 70220 2642043.64  202  103 2807991.90 827417.783  70.5%  19.9 1245s
 88214 71318 1762604.81   78  168 2807991.90 828176.513  70.5%  19.9 1250s
 89729 72559 1235859.47   68  197 2807991.90 829174.506  70.5%  19.8 1255s
 91555 74004 1457523.23   70  189 2807991.90 830428.027  70.4%  19.8 1260s
 92947 75095 982745.219   59  202 2807991.90 831622.063  70.4%  19.8 1265s
 94124 76067 2214282.02   87  157 2807991.90 832831.249  70.3%  19.8 1270s
 95529 77186 1217894.42   64  197 2807991.90 833891.724  70.3%  19.8 1275s
 96909 78294 2059849.89   95  162 2807991.90 834862.389  70.3%  19.8 1280s
 98400 79628 1045014.74   59  203 2807991.90 835814.875  70.2%  19.8 1285s
 100238 81165 1538016.10   79  172 2807991.90 836722.395  70.2%  19.7 1290s
 101638 82244 1016367.43   61  216 2807991.90 837481.708  70.2%  19.7 1295s
 103001 83270 2293611.95   98  137 2807991.90 838493.742  70.1%  19.7 1300s
 104249 84473 1719828.50   80  177 2807991.90 839293.270  70.1%  19.7 1305s
 105799 85469 2576205.71  101  131 2807991.90 839817.098  70.1%  19.7 1310s
 107069 86583 1121738.85   67  191 2807991.90 840798.868  70.1%  19.7 1315s
 108386 87635 2348342.43   95  139 2807991.90 841922.468  70.0%  19.7 1320s
 109935 89141 2793602.74  108  131 2807991.90 843100.981  70.0%  19.6 1325s
 111460 90369 2557699.33  105  122 2807991.90 843309.675  70.0%  19.5 1330s
 112946 91529 2060645.32   87  155 2807991.90 844001.699  69.9%  19.6 1335s
 114556 92794 2621112.00  102  132 2807991.90 844892.999  69.9%  19.6 1340s
 115665 93754 1163994.32   64  207 2807991.90 845893.002  69.9%  19.6 1345s
 117075 94963 2628573.49  104  131 2807991.90 846505.444  69.9%  19.6 1350s
 118190 95756 1078260.48   66  207 2807991.90 846969.639  69.8%  19.6 1355s
 119477 96854 992328.988   58  208 2807991.90 847722.909  69.8%  19.6 1360s
 120686 97849 2669384.28  105  115 2807991.90 848528.832  69.8%  19.6 1365s
 122180 99117 2679480.86  126  115 2807991.90 849288.367  69.8%  19.6 1370s
 123446 100087 2752860.35  108  124 2807991.90 849963.734  69.7%  19.6 1375s
 124704 101106 2720580.57  106  121 2807991.90 850750.944  69.7%  19.6 1380s
 126750 102696 1066807.85   62  203 2807991.90 852155.491  69.7%  19.6 1385s
 128835 104413 991380.661   58  204 2807991.90 853378.208  69.6%  19.6 1390s
 130768 106096 2693337.64  140  114 2807991.90 854575.990  69.6%  19.6 1395s
 132350 107366 2278321.77   94  139 2807991.90 855501.631  69.5%  19.6 1400s
 133686 108452 2798830.36   99  134 2807991.90 856255.653  69.5%  19.6 1405s
 134873 109341     cutoff  107      2807991.90 857024.188  69.5%  19.7 1410s
 135961 110206 1442538.35   74  182 2807991.90 857605.043  69.5%  19.6 1415s
 137263 111320 1096116.62   59  204 2807991.90 858627.871  69.4%  19.6 1420s
 138701 112407 2615176.09  105  138 2807991.90 859257.335  69.4%  19.6 1425s
 140072 113641 2721922.30  251  102 2807991.90 859735.498  69.4%  19.6 1430s
 141265 114602 2171871.53   91  152 2807991.90 860542.688  69.4%  19.6 1435s
 142658 115720 1436414.67   77  192 2807991.90 861411.147  69.3%  19.6 1440s
 143785 116621 1362210.95   68  191 2807991.90 862026.416  69.3%  19.6 1445s
 145389 118130 1446626.05   72  188 2807991.90 862377.065  69.3%  19.5 1450s
 146747 119239 2637068.75  102  114 2807991.90 862758.751  69.3%  19.5 1455s
 148131 120309 2323476.56   99  132 2807991.90 863670.935  69.2%  19.5 1460s
 149532 121494 1350814.96   72  179 2807991.90 864581.359  69.2%  19.5 1465s
 150829 122468 922296.607   55  222 2807991.90 865215.689  69.2%  19.5 1470s
 151950 123374 2526386.57  105  128 2807991.90 865674.078  69.2%  19.6 1475s
 153345 124609 1067731.65   63  196 2807991.90 866621.799  69.1%  19.6 1480s
 154670 125588 998989.242   58  208 2807991.90 867214.974  69.1%  19.5 1485s
 156098 126744 2137716.09   94  150 2807991.90 867866.883  69.1%  19.5 1490s
 157197 127522 2432254.83  103  140 2807991.90 868268.128  69.1%  19.5 1495s
 158561 128603 1867642.52   80  164 2807991.90 868866.840  69.1%  19.5 1500s
 160266 130061 1220785.03   70  189 2807991.90 869635.492  69.0%  19.5 1505s
 162314 131712 1088858.82   63  206 2807991.90 870561.920  69.0%  19.5 1510s
 164241 133233     cutoff  106      2807991.90 871395.714  69.0%  19.5 1515s
 166226 134882 1213110.66   62  196 2807991.90 872267.549  68.9%  19.5 1520s
 168319 136600 2333824.80   91  141 2807991.90 872870.427  68.9%  19.6 1525s
 170032 137942 1172745.45   70  190 2807991.90 873570.795  68.9%  19.5 1530s
 171205 138909 1174754.95   61  191 2807991.90 874302.302  68.9%  19.5 1535s
 172632 140067 929297.465   61  213 2807991.90 875074.413  68.8%  19.5 1540s
 173820 140965 1908654.65   88  140 2807991.90 875434.108  68.8%  19.6 1545s
